title,author,read
The Adventures Of Sherlock Holmes - Adventure III - A Case Of Identity,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure IV - The Bascombe Valley Mystery,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure IX - The Adventure Of The Engineer's Thumb,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure V - The Five Orange Pips,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure VI - The Man With The Twisted Lip,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure VII - The Adventure Of The Blue Carbuncle,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure VIII - The Adventure Of The Speckled Band,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure X - The Adventure Of The Noble Bachelor,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure XI - The Adventure Of The Beryl Coronet,Sir Arthur Conan Doyle,Mark F. Smith
The Adventures Of Sherlock Holmes - Adventure XII - The Adventure Of The Copper Beeches,Sir Arthur Conan Doyle,Mark F. Smith
The Bell-Tower,Herman Melville,James K. White
The Birthday Of The Infanta,Oscar Wilde,Alex Lau
The Black Cat,Edgar Allan Poe,Phil Chenevert
The Blue Room,Kenneth Grahame,Mike Harris
The Brazilian Cat,Sir Arthur Conan Doyle,Bellona Times
The Californian's Tale,Mark Twain,John Greenman
The Camel's Back,F. Scott Fitzgerald,Laurie Anne Walden
The Canterville Ghost,Oscar Wilde,Mike Harris
The Cask Of Amontillado,Edgar Allan Poe,Phil Chenevert
The Curious Case of Benjamin Button,F. Scott Fitzgerald,Mike Vendetti
The Fullness Of Life,Edith Wharton,Elizabeth Klett
The Gipsy Prophecy,Bram Stoker,Cate Mackenzie
The Gold-Bug,Edgar Allan Poe,Mike Pelton
The Haunted House,Charles Dickens,Julie VW
The Horror Of The Heights,Sir Arthur Conan Doyle,Scott Danneker
The Jungle Book,Rudyard Kipling,Phil Chenevert
The Legend Of Sleepy Hollow,Washington Irving,Phil Chenevert
The Lighting-Rod Man,Herman Melville,James K. White
The Lumber-Room,Saki,Justin Brett
The Man That Corrupted Hadleyburg,Mark Twain,Leonard Wilson
The Man Who Would Be King,Rudyard Kipling,Philippa
The Man Who Would Manage,Jerome K. Jerome,Ruth Golding
The Mark On The Wall,Virginia Woolf,Elizabeth Klett
The Masque Of The Red Death,Edgar Allan Poe,Phil Chenevert
The Million Pound Bank Note,Mark Twain,John Greenman
The Minister's Black Veil,Nathaniel Hawthorne,Chiquito Crasto
The Murders In The Rue Morgue,Edgar Allan Poe,Phil Chenevert
The Nice People,Henry Cuyler Bunner,William Coon
The Piazza,Herman Melville,James K. White
The Pit And The Pendulum,Edgar Allan Poe,Eric S. Piotrowski
The Secret Of The Growing Gold,Bram Stoker,Haylayer Flaga
The She-Wolf,Saki,David Wales
The Tell-Tale Heart,Edgar Allan Poe,Phil Chenevert
The Verdict,Edith Wharton,Elizabeth Klett
The Wedding Knell,Nathaniel Hawthorne,dave k
The Young King,Oscar Wilde,Gregg Margarite
To Build A Fire,Jack London,Bob Neufeld
Tobermory,Saki,Kara Shallenberg
Told After Supper,Jerome K. Jerome,Ruth Golding
"Tu ridi, La signora Frola e il signor Ponza, suo genero (Omaggio)",Luigi Pirandello,Moro Silo and Margaret Collina
Udvalgte Danske Eventyr,Hans Christian Andersen,Kristoffer Hunsdahl
Willem Tell,Pieter Louwerse,Marcel Coenders
Wintry Peacock,D. H. Lawrence,Mark F. Smith
Xingu,Edith Wharton,Rosie
"Youth, A Narrative",Joseph Conrad,Chris Hughes
Ангелочек,Леонид Андреев,LibriVox Narrator 'Create'
